Specimen_no,Curve_no,Thickness_mm,Width_mm,Extension_mm,Force_N
1,1,1,1,0,229
1.0,1.0,1.0,1.0,0.001,232.0
1.0,1.0,1.0,1.0,0.002,236.0
1.0,1.0,1.0,1.0,0.003,241.0
1.0,1.0,1.0,1.0,0.004,247.0
1.0,1.0,1.0,1.0,0.005,251.0
1.0,1.0,1.0,1.0,0.006,257.0
1.0,1.0,1.0,1.0,0.007,264.0
1.0,1.0,1.0,1.0,0.008,270.0
1.0,1.0,1.0,1.0,0.009,274.0
1.0,1.0,1.0,1.0,0.01,279.0
1.0,1.0,1.0,1.0,0.011,285.0
1.0,1.0,1.0,1.0,0.012,290.0
1.0,1.0,1.0,1.0,0.013,295.0
1.0,1.0,1.0,1.0,0.014,300.0
1.0,1.0,1.0,1.0,0.015,304.0
1.0,1.0,1.0,1.0,0.016,310.0
1.0,1.0,1.0,1.0,0.017,314.0
1.0,1.0,1.0,1.0,0.018,319.0
1.0,1.0,1.0,1.0,0.019,324.0
1.0,1.0,1.0,1.0,0.02,328.0
1.0,1.0,1.0,1.0,0.021,333.0
1.0,1.0,1.0,1.0,0.022,338.0
1.0,1.0,1.0,1.0,0.023,341.0
1.0,1.0,1.0,1.0,0.024,346.0
1.0,1.0,1.0,1.0,0.025,350.0
1.0,1.0,1.0,1.0,0.026,355.0
1.0,1.0,1.0,1.0,0.027,358.0
1.0,1.0,1.0,1.0,0.028,363.0
1.0,1.0,1.0,1.0,0.029,366.0
1.0,1.0,1.0,1.0,0.03,371.0
1.0,1.0,1.0,1.0,0.031,374.0
1.0,1.0,1.0,1.0,0.032,378.0
1.0,1.0,1.0,1.0,0.033,382.0
1.0,1.0,1.0,1.0,0.034,385.0
1.0,1.0,1.0,1.0,0.035,389.0
1.0,1.0,1.0,1.0,0.036,393.0
1.0,1.0,1.0,1.0,0.037,396.0
1.0,1.0,1.0,1.0,0.038,400.0
1.0,1.0,1.0,1.0,0.039,403.0
1.0,1.0,1.0,1.0,0.04,407.0
1.0,1.0,1.0,1.0,0.041,409.0
1.0,1.0,1.0,1.0,0.042,412.0
1.0,1.0,1.0,1.0,0.043,415.0
1.0,1.0,1.0,1.0,0.044,418.0
1.0,1.0,1.0,1.0,0.045,422.0
1.0,1.0,1.0,1.0,0.046,425.0
1.0,1.0,1.0,1.0,0.047,429.0
1.0,1.0,1.0,1.0,0.048,431.0
1.0,1.0,1.0,1.0,0.049,434.0
1.0,1.0,1.0,1.0,0.05,437.0
1.0,1.0,1.0,1.0,0.051,440.0
1.0,1.0,1.0,1.0,0.052,442.0
1.0,1.0,1.0,1.0,0.053,446.0
1.0,1.0,1.0,1.0,0.054,448.0
1.0,1.0,1.0,1.0,0.055,452.0
1.0,1.0,1.0,1.0,0.056,454.0
1.0,1.0,1.0,1.0,0.057,456.0
1.0,1.0,1.0,1.0,0.058,460.0
1.0,1.0,1.0,1.0,0.059,463.0
1.0,1.0,1.0,1.0,0.06,465.0
1.0,1.0,1.0,1.0,0.061,468.0
1.0,1.0,1.0,1.0,0.062,470.0
1.0,1.0,1.0,1.0,0.063,473.0
1.0,1.0,1.0,1.0,0.064,476.0
1.0,1.0,1.0,1.0,0.065,478.0
1.0,1.0,1.0,1.0,0.066,482.0
1.0,1.0,1.0,1.0,0.067,484.0
1.0,1.0,1.0,1.0,0.068,486.0
1.0,1.0,1.0,1.0,0.069,488.0
1.0,1.0,1.0,1.0,0.07,492.0
1.0,1.0,1.0,1.0,0.071,494.0
1.0,1.0,1.0,1.0,0.072,497.0
1.0,1.0,1.0,1.0,0.073,500.0
1.0,1.0,1.0,1.0,0.074,502.0
1.0,1.0,1.0,1.0,0.075,505.0
1.0,1.0,1.0,1.0,0.076,507.0
1.0,1.0,1.0,1.0,0.077,509.0
1.0,1.0,1.0,1.0,0.078,513.0
1.0,1.0,1.0,1.0,0.079,515.0
1.0,1.0,1.0,1.0,0.08,518.0
1.0,1.0,1.0,1.0,0.081,521.0
1.0,1.0,1.0,1.0,0.082,522.0
1.0,1.0,1.0,1.0,0.083,525.0
1.0,1.0,1.0,1.0,0.084,528.0
1.0,1.0,1.0,1.0,0.085,530.0
1.0,1.0,1.0,1.0,0.086,532.0
1.0,1.0,1.0,1.0,0.087,535.0
1.0,1.0,1.0,1.0,0.088,537.0
1.0,1.0,1.0,1.0,0.089,540.0
1.0,1.0,1.0,1.0,0.09,543.0
1.0,1.0,1.0,1.0,0.091,545.0
1.0,1.0,1.0,1.0,0.092,547.0
1.0,1.0,1.0,1.0,0.093,550.0
1.0,1.0,1.0,1.0,0.094,552.0
1.0,1.0,1.0,1.0,0.095,554.0
1.0,1.0,1.0,1.0,0.096,558.0
1.0,1.0,1.0,1.0,0.097,560.0
1.0,1.0,1.0,1.0,0.098,562.0
1.0,1.0,1.0,1.0,0.099,564.0
1.0,1.0,1.0,1.0,0.1,567.0
1.0,1.0,1.0,1.0,0.101,569.0
1.0,1.0,1.0,1.0,0.102,571.0
1.0,1.0,1.0,1.0,0.103,574.0
1.0,1.0,1.0,1.0,0.104,576.0
1.0,1.0,1.0,1.0,0.105,578.0
1.0,1.0,1.0,1.0,0.106,581.0
1.0,1.0,1.0,1.0,0.107,583.0
1.0,1.0,1.0,1.0,0.108,585.0
1.0,1.0,1.0,1.0,0.109,588.0
1.0,1.0,1.0,1.0,0.11,590.0
1.0,1.0,1.0,1.0,0.111,592.0
1.0,1.0,1.0,1.0,0.112,594.0
1.0,1.0,1.0,1.0,0.113,596.0
1.0,1.0,1.0,1.0,0.114,598.0
1.0,1.0,1.0,1.0,0.115,600.0
1.0,1.0,1.0,1.0,0.116,602.0
1.0,1.0,1.0,1.0,0.117,605.0
1.0,1.0,1.0,1.0,0.118,607.0
1.0,1.0,1.0,1.0,0.119,609.0
1.0,1.0,1.0,1.0,0.12,612.0
1.0,1.0,1.0,1.0,0.121,613.0
1.0,1.0,1.0,1.0,0.122,615.0
1.0,1.0,1.0,1.0,0.123,617.0
1.0,1.0,1.0,1.0,0.124,620.0
1.0,1.0,1.0,1.0,0.125,622.0
1.0,1.0,1.0,1.0,0.126,623.0
1.0,1.0,1.0,1.0,0.127,626.0
1.0,1.0,1.0,1.0,0.128,628.0
1.0,1.0,1.0,1.0,0.129,630.0
1.0,1.0,1.0,1.0,0.13,632.0
1.0,1.0,1.0,1.0,0.131,635.0
1.0,1.0,1.0,1.0,0.132,636.0
1.0,1.0,1.0,1.0,0.133,638.0
1.0,1.0,1.0,1.0,0.134,641.0
1.0,1.0,1.0,1.0,0.135,643.0
1.0,1.0,1.0,1.0,0.136,644.0
1.0,1.0,1.0,1.0,0.137,646.0
1.0,1.0,1.0,1.0,0.138,649.0
1.0,1.0,1.0,1.0,0.139,651.0
1.0,1.0,1.0,1.0,0.14,652.0
1.0,1.0,1.0,1.0,0.141,654.0
1.0,1.0,1.0,1.0,0.142,657.0
1.0,1.0,1.0,1.0,0.143,658.0
1.0,1.0,1.0,1.0,0.144,660.0
1.0,1.0,1.0,1.0,0.145,662.0
1.0,1.0,1.0,1.0,0.146,664.0
1.0,1.0,1.0,1.0,0.147,666.0
1.0,1.0,1.0,1.0,0.148,668.0
1.0,1.0,1.0,1.0,0.149,670.0
1.0,1.0,1.0,1.0,0.15,672.0
1.0,1.0,1.0,1.0,0.151,674.0
1.0,1.0,1.0,1.0,0.152,676.0
1.0,1.0,1.0,1.0,0.153,679.0
1.0,1.0,1.0,1.0,0.154,680.0
1.0,1.0,1.0,1.0,0.155,682.0
1.0,1.0,1.0,1.0,0.156,684.0
1.0,1.0,1.0,1.0,0.157,685.0
1.0,1.0,1.0,1.0,0.158,688.0
1.0,1.0,1.0,1.0,0.159,690.0
1.0,1.0,1.0,1.0,0.16,692.0
1.0,1.0,1.0,1.0,0.161,694.0
1.0,1.0,1.0,1.0,0.162,696.0
1.0,1.0,1.0,1.0,0.163,697.0
1.0,1.0,1.0,1.0,0.164,699.0
1.0,1.0,1.0,1.0,0.165,702.0
1.0,1.0,1.0,1.0,0.166,703.0
1.0,1.0,1.0,1.0,0.167,704.0
1.0,1.0,1.0,1.0,0.168,706.0
1.0,1.0,1.0,1.0,0.169,708.0
1.0,1.0,1.0,1.0,0.17,711.0
1.0,1.0,1.0,1.0,0.171,712.0
1.0,1.0,1.0,1.0,0.172,714.0
1.0,1.0,1.0,1.0,0.173,715.0
1.0,1.0,1.0,1.0,0.174,718.0
1.0,1.0,1.0,1.0,0.175,719.0
1.0,1.0,1.0,1.0,0.176,721.0
1.0,1.0,1.0,1.0,0.177,722.0
1.0,1.0,1.0,1.0,0.178,725.0
1.0,1.0,1.0,1.0,0.179,727.0
1.0,1.0,1.0,1.0,0.18,728.0
1.0,1.0,1.0,1.0,0.181,730.0
1.0,1.0,1.0,1.0,0.182,733.0
1.0,1.0,1.0,1.0,0.183,734.0
1.0,1.0,1.0,1.0,0.184,736.0
1.0,1.0,1.0,1.0,0.185,737.0
1.0,1.0,1.0,1.0,0.186,740.0
1.0,1.0,1.0,1.0,0.187,741.0
1.0,1.0,1.0,1.0,0.188,743.0
1.0,1.0,1.0,1.0,0.189,744.0
1.0,1.0,1.0,1.0,0.19,746.0
1.0,1.0,1.0,1.0,0.191,749.0
1.0,1.0,1.0,1.0,0.192,750.0
1.0,1.0,1.0,1.0,0.193,752.0
1.0,1.0,1.0,1.0,0.194,755.0
1.0,1.0,1.0,1.0,0.195,756.0
1.0,1.0,1.0,1.0,0.196,758.0
1.0,1.0,1.0,1.0,0.197,759.0
1.0,1.0,1.0,1.0,0.198,761.0
1.0,1.0,1.0,1.0,0.199,763.0
1.0,1.0,1.0,1.0,0.2,765.0
1.0,1.0,1.0,1.0,0.201,767.0
1.0,1.0,1.0,1.0,0.202,768.0
1.0,1.0,1.0,1.0,0.203,771.0
1.0,1.0,1.0,1.0,0.204,772.0
1.0,1.0,1.0,1.0,0.205,774.0
1.0,1.0,1.0,1.0,0.206,776.0
1.0,1.0,1.0,1.0,0.207,778.0
1.0,1.0,1.0,1.0,0.208,779.0
1.0,1.0,1.0,1.0,0.209,781.0
1.0,1.0,1.0,1.0,0.21,783.0
1.0,1.0,1.0,1.0,0.211,785.0
1.0,1.0,1.0,1.0,0.212,787.0
1.0,1.0,1.0,1.0,0.213,788.0
1.0,1.0,1.0,1.0,0.214,790.0
1.0,1.0,1.0,1.0,0.215,791.0
1.0,1.0,1.0,1.0,0.216,794.0
1.0,1.0,1.0,1.0,0.217,795.0
1.0,1.0,1.0,1.0,0.218,797.0
1.0,1.0,1.0,1.0,0.219,798.0
1.0,1.0,1.0,1.0,0.22,801.0
1.0,1.0,1.0,1.0,0.221,803.0
1.0,1.0,1.0,1.0,0.222,804.0
1.0,1.0,1.0,1.0,0.223,806.0
1.0,1.0,1.0,1.0,0.224,809.0
1.0,1.0,1.0,1.0,0.225,810.0
1.0,1.0,1.0,1.0,0.226,812.0
1.0,1.0,1.0,1.0,0.227,813.0
1.0,1.0,1.0,1.0,0.228,816.0
1.0,1.0,1.0,1.0,0.229,817.0
1.0,1.0,1.0,1.0,0.23,819.0
1.0,1.0,1.0,1.0,0.231,820.0
1.0,1.0,1.0,1.0,0.232,823.0
1.0,1.0,1.0,1.0,0.233,824.0
1.0,1.0,1.0,1.0,0.234,826.0
1.0,1.0,1.0,1.0,0.235,827.0
1.0,1.0,1.0,1.0,0.236,829.0
1.0,1.0,1.0,1.0,0.237,831.0
1.0,1.0,1.0,1.0,0.238,833.0
1.0,1.0,1.0,1.0,0.239,835.0
1.0,1.0,1.0,1.0,0.24,836.0
1.0,1.0,1.0,1.0,0.241,838.0
1.0,1.0,1.0,1.0,0.242,840.0
1.0,1.0,1.0,1.0,0.243,842.0
1.0,1.0,1.0,1.0,0.244,843.0
1.0,1.0,1.0,1.0,0.245,846.0
1.0,1.0,1.0,1.0,0.246,847.0
1.0,1.0,1.0,1.0,0.247,849.0
1.0,1.0,1.0,1.0,0.248,850.0
1.0,1.0,1.0,1.0,0.249,852.0
1.0,1.0,1.0,1.0,0.25,854.0
1.0,1.0,1.0,1.0,0.251,856.0
1.0,1.0,1.0,1.0,0.252,858.0
1.0,1.0,1.0,1.0,0.253,859.0
1.0,1.0,1.0,1.0,0.254,862.0
1.0,1.0,1.0,1.0,0.255,863.0
1.0,1.0,1.0,1.0,0.256,865.0
1.0,1.0,1.0,1.0,0.257,867.0
1.0,1.0,1.0,1.0,0.258,870.0
1.0,1.0,1.0,1.0,0.259,871.0
1.0,1.0,1.0,1.0,0.26,873.0
1.0,1.0,1.0,1.0,0.261,874.0
1.0,1.0,1.0,1.0,0.262,877.0
1.0,1.0,1.0,1.0,0.263,878.0
1.0,1.0,1.0,1.0,0.264,880.0
1.0,1.0,1.0,1.0,0.265,881.0
1.0,1.0,1.0,1.0,0.266,882.0
1.0,1.0,1.0,1.0,0.267,885.0
1.0,1.0,1.0,1.0,0.268,887.0
1.0,1.0,1.0,1.0,0.269,889.0
1.0,1.0,1.0,1.0,0.27,890.0
1.0,1.0,1.0,1.0,0.271,893.0
1.0,1.0,1.0,1.0,0.272,894.0
1.0,1.0,1.0,1.0,0.273,896.0
1.0,1.0,1.0,1.0,0.274,899.0
1.0,1.0,1.0,1.0,0.275,900.0
1.0,1.0,1.0,1.0,0.276,901.0
1.0,1.0,1.0,1.0,0.277,903.0
1.0,1.0,1.0,1.0,0.278,905.0
1.0,1.0,1.0,1.0,0.279,907.0
1.0,1.0,1.0,1.0,0.28,909.0
1.0,1.0,1.0,1.0,0.281,911.0
1.0,1.0,1.0,1.0,0.282,912.0
1.0,1.0,1.0,1.0,0.283,915.0
1.0,1.0,1.0,1.0,0.284,916.0
1.0,1.0,1.0,1.0,0.285,918.0
1.0,1.0,1.0,1.0,0.286,920.0
1.0,1.0,1.0,1.0,0.287,922.0
1.0,1.0,1.0,1.0,0.288,924.0
1.0,1.0,1.0,1.0,0.289,925.0
1.0,1.0,1.0,1.0,0.29,927.0
1.0,1.0,1.0,1.0,0.291,929.0
1.0,1.0,1.0,1.0,0.292,931.0
1.0,1.0,1.0,1.0,0.293,933.0
1.0,1.0,1.0,1.0,0.294,934.0
1.0,1.0,1.0,1.0,0.295,937.0
1.0,1.0,1.0,1.0,0.296,939.0
1.0,1.0,1.0,1.0,0.297,940.0
1.0,1.0,1.0,1.0,0.298,942.0
1.0,1.0,1.0,1.0,0.299,943.0
1.0,1.0,1.0,1.0,0.3,946.0
1.0,1.0,1.0,1.0,0.301,948.0
1.0,1.0,1.0,1.0,0.302,949.0
1.0,1.0,1.0,1.0,0.303,952.0
1.0,1.0,1.0,1.0,0.304,953.0
1.0,1.0,1.0,1.0,0.305,955.0
1.0,1.0,1.0,1.0,0.306,957.0
1.0,1.0,1.0,1.0,0.307,958.0
1.0,1.0,1.0,1.0,0.308,961.0
1.0,1.0,1.0,1.0,0.309,963.0
1.0,1.0,1.0,1.0,0.31,964.0
1.0,1.0,1.0,1.0,0.311,967.0
1.0,1.0,1.0,1.0,0.312,968.0
1.0,1.0,1.0,1.0,0.313,970.0
1.0,1.0,1.0,1.0,0.314,971.0
1.0,1.0,1.0,1.0,0.315,973.0
1.0,1.0,1.0,1.0,0.316,976.0
1.0,1.0,1.0,1.0,0.317,978.0
1.0,1.0,1.0,1.0,0.318,979.0
1.0,1.0,1.0,1.0,0.319,982.0
1.0,1.0,1.0,1.0,0.32,984.0
1.0,1.0,1.0,1.0,0.321,986.0
1.0,1.0,1.0,1.0,0.322,987.0
1.0,1.0,1.0,1.0,0.323,990.0
1.0,1.0,1.0,1.0,0.324,992.0
1.0,1.0,1.0,1.0,0.325,993.0
1.0,1.0,1.0,1.0,0.326,995.0
1.0,1.0,1.0,1.0,0.327,996.0
1.0,1.0,1.0,1.0,0.328,999.0
1.0,1.0,1.0,1.0,0.329,1001.0
1.0,1.0,1.0,1.0,0.33,1002.0
1.0,1.0,1.0,1.0,0.331,1005.0
1.0,1.0,1.0,1.0,0.332,1007.0
1.0,1.0,1.0,1.0,0.333,1009.0
1.0,1.0,1.0,1.0,0.334,1011.0
1.0,1.0,1.0,1.0,0.335,1013.0
1.0,1.0,1.0,1.0,0.336,1014.0
1.0,1.0,1.0,1.0,0.337,1017.0
1.0,1.0,1.0,1.0,0.338,1018.0
1.0,1.0,1.0,1.0,0.339,1021.0
1.0,1.0,1.0,1.0,0.34,1022.0
1.0,1.0,1.0,1.0,0.341,1024.0
1.0,1.0,1.0,1.0,0.342,1026.0
1.0,1.0,1.0,1.0,0.343,1029.0
1.0,1.0,1.0,1.0,0.344,1030.0
1.0,1.0,1.0,1.0,0.345,1032.0
1.0,1.0,1.0,1.0,0.346,1034.0
1.0,1.0,1.0,1.0,0.347,1037.0
1.0,1.0,1.0,1.0,0.348,1039.0
1.0,1.0,1.0,1.0,0.349,1040.0
1.0,1.0,1.0,1.0,0.35,1043.0
1.0,1.0,1.0,1.0,0.351,1045.0
1.0,1.0,1.0,1.0,0.352,1046.0
1.0,1.0,1.0,1.0,0.353,1048.0
1.0,1.0,1.0,1.0,0.354,1051.0
1.0,1.0,1.0,1.0,0.355,1053.0
1.0,1.0,1.0,1.0,0.356,1055.0
1.0,1.0,1.0,1.0,0.357,1056.0
1.0,1.0,1.0,1.0,0.358,1059.0
1.0,1.0,1.0,1.0,0.359,1060.0
1.0,1.0,1.0,1.0,0.36,1062.0
1.0,1.0,1.0,1.0,0.361,1064.0
1.0,1.0,1.0,1.0,0.362,1067.0
1.0,1.0,1.0,1.0,0.363,1069.0
1.0,1.0,1.0,1.0,0.364,1070.0
1.0,1.0,1.0,1.0,0.365,1073.0
1.0,1.0,1.0,1.0,0.366,1075.0
1.0,1.0,1.0,1.0,0.367,1077.0
1.0,1.0,1.0,1.0,0.368,1078.0
1.0,1.0,1.0,1.0,0.369,1081.0
1.0,1.0,1.0,1.0,0.37,1083.0
1.0,1.0,1.0,1.0,0.371,1084.0
1.0,1.0,1.0,1.0,0.372,1086.0
1.0,1.0,1.0,1.0,0.373,1089.0
1.0,1.0,1.0,1.0,0.374,1090.0
1.0,1.0,1.0,1.0,0.375,1092.0
1.0,1.0,1.0,1.0,0.376,1094.0
1.0,1.0,1.0,1.0,0.377,1097.0
1.0,1.0,1.0,1.0,0.378,1099.0
1.0,1.0,1.0,1.0,0.379,1100.0
1.0,1.0,1.0,1.0,0.38,1102.0
1.0,1.0,1.0,1.0,0.381,1105.0
1.0,1.0,1.0,1.0,0.382,1107.0
1.0,1.0,1.0,1.0,0.383,1108.0
1.0,1.0,1.0,1.0,0.384,1111.0
1.0,1.0,1.0,1.0,0.385,1113.0
1.0,1.0,1.0,1.0,0.386,1115.0
1.0,1.0,1.0,1.0,0.387,1117.0
1.0,1.0,1.0,1.0,0.388,1119.0
1.0,1.0,1.0,1.0,0.389,1121.0
1.0,1.0,1.0,1.0,0.39,1123.0
1.0,1.0,1.0,1.0,0.391,1126.0
1.0,1.0,1.0,1.0,0.392,1127.0
1.0,1.0,1.0,1.0,0.393,1129.0
1.0,1.0,1.0,1.0,0.394,1130.0
1.0,1.0,1.0,1.0,0.395,1132.0
1.0,1.0,1.0,1.0,0.396,1135.0
1.0,1.0,1.0,1.0,0.397,1136.0
1.0,1.0,1.0,1.0,0.398,1138.0
1.0,1.0,1.0,1.0,0.399,1140.0
1.0,1.0,1.0,1.0,0.4,1142.0
1.0,1.0,1.0,1.0,0.401,1144.0
1.0,1.0,1.0,1.0,0.402,1146.0
1.0,1.0,1.0,1.0,0.403,1147.0
1.0,1.0,1.0,1.0,0.404,1149.0
1.0,1.0,1.0,1.0,0.405,1151.0
1.0,1.0,1.0,1.0,0.406,1151.0
1.0,1.0,1.0,1.0,0.407,1152.0
2,1,1,1,0,142
2.0,1.0,1.0,1.0,0.001,146.0
2.0,1.0,1.0,1.0,0.002,148.0
2.0,1.0,1.0,1.0,0.003,153.0
2.0,1.0,1.0,1.0,0.004,158.0
2.0,1.0,1.0,1.0,0.005,162.0
