Displacement,Load
0.0201,94.1
0.0277,185
0.0354,276
0.0431,350
0.0499,548
0.0507,457
0.0566,587
0.0621,640
0.0649,718
0.0715,771
0.0799,815
0.0882,930
0.0918,868
0.0957,990
0.108,1120
0.111,1290
0.113,1230
0.118,1450
0.118,1370
0.118,1680
0.120,1410
0.120,1340
0.120,1810
0.120,1760
0.120,1510
0.120,1560
0.121,1720
0.125,1640
0.126,1600
0.127,1880
0.140,1960
0.150,2020
0.166,2090
0.186,2210
0.210,2320
0.226,2390
0.248,2490
0.270,2570
0.295,2660
0.316,2730
0.336,2800
0.358,2870
0.382,2930
0.409,2990
0.431,3030
0.434,2790
0.439,2360
0.442,2410
0.442,2880
0.442,2970
0.443,2640
0.444,2530
0.444,2300
0.445,2450
0.447,2490
0.449,2250
0.449,2590
0.449,2720
0.465,2180
0.472,2120
0.480,1970
0.480,2050
0.488,1770
0.488,1840
0.488,1900
0.494,1660
0.494,1710
0.494,1630
0.495,1580
0.503,1510
0.504,1430
0.516,1390
0.526,1320
0.537,1250
0.541,1190
0.556,1130
0.561,1080
0.572,1040
0.576,979
0.587,887
0.587,936
0.599,842
0.620,796
0.626,732
0.628,674
0.634,633
0.637,586
0.643,551
0.644,431
0.646,508
0.647,471
0.647,386
0.650,334
0.656,284
0.656,226
0.666,178
0.679,135
0.687,89.0
0.694,52.9
0.702,19.8
